timestamp, temperature.gpu, clocks.current.graphics [MHz], utilization.gpu [%], power.draw [W], clocks_event_reasons.sw_thermal_slowdown
2026/09/20 03:33:38.668, 84, 690 MHz, 55 %, 50.51 W, Active
2026/09/20 03:33:40.694, 84, 405 MHz, 98 %, 56.32 W, Active
2026/09/20 03:33:42.710, 85, 1110 MHz, 98 %, 62.56 W, Active
2026/09/20 03:33:44.731, 84, 1005 MHz, 100 %, 56.45 W, Active
2026/09/20 03:33:46.757, 86, 1695 MHz, 99 %, 61.70 W, Not Active
2026/09/20 03:33:48.782, 84, 300 MHz, 99 %, 42.98 W, Active
2026/09/20 03:33:50.804, 86, 1650 MHz, 97 %, 59.39 W, Not Active
2026/09/20 03:33:52.832, 83, 300 MHz, 99 %, 46.89 W, Active
2026/09/20 03:33:54.847, 84, 1020 MHz, 99 %, 59.21 W, Active
2026/09/20 03:33:56.871, 85, 1080 MHz, 99 %, 64.64 W, Active
2026/09/20 03:33:58.887, 85, 300 MHz, 99 %, 75.73 W, Active
2026/09/20 03:34:00.905, 83, 1005 MHz, 99 %, 43.70 W, Not Active
2026/09/20 03:34:02.945, 86, 300 MHz, 99 %, 84.33 W, Active
2026/09/20 03:34:04.975, 85, 1125 MHz, 100 %, 67.80 W, Active
2026/09/20 03:34:07.001, 84, 1185 MHz, 96 %, 68.47 W, Not Active
2026/09/20 03:34:09.034, 84, 810 MHz, 100 %, 54.35 W, Active
2026/09/20 03:34:11.054, 85, 1095 MHz, 100 %, 64.06 W, Active
2026/09/20 03:34:13.078, 84, 465 MHz, 99 %, 49.94 W, Active
2026/09/20 03:34:15.095, 86, 1110 MHz, 99 %, 65.09 W, Active
2026/09/20 03:34:17.118, 83, 330 MHz, 99 %, 42.18 W, Active
2026/09/20 03:34:19.143, 84, 1110 MHz, 98 %, 61.96 W, Active
2026/09/20 03:34:21.160, 85, 1110 MHz, 65 %, 63.83 W, Active
2026/09/20 03:34:23.180, 86, 1425 MHz, 95 %, 78.19 W, Active
2026/09/20 03:34:25.204, 85, 1245 MHz, 90 %, 65.76 W, Active
2026/09/20 03:34:27.225, 83, 1005 MHz, 86 %, 55.31 W, Not Active
2026/09/20 03:34:29.263, 85, 1260 MHz, 91 %, 67.41 W, Active
2026/09/20 03:34:31.281, 83, 315 MHz, 91 %, 41.75 W, Active
2026/09/20 03:34:33.307, 87, 1530 MHz, 95 %, 88.86 W, Not Active
2026/09/20 03:34:35.341, 85, 1050 MHz, 96 %, 61.85 W, Active
2026/09/20 03:34:37.369, 85, 1020 MHz, 96 %, 62.70 W, Active
2026/09/20 03:34:39.380, 85, 1035 MHz, 98 %, 62.11 W, Active
2026/09/20 03:34:41.398, 84, 765 MHz, 96 %, 49.96 W, Active
2026/09/20 03:34:43.426, 84, 300 MHz, 98 %, 45.28 W, Active
2026/09/20 03:34:45.450, 84, 1005 MHz, 97 %, 52.71 W, Not Active
2026/09/20 03:34:47.491, 83, 690 MHz, 98 %, 48.38 W, Active
2026/09/20 03:34:49.523, 84, 960 MHz, 97 %, 56.46 W, Active
2026/09/20 03:34:51.541, 86, 1110 MHz, 97 %, 59.37 W, Active
2026/09/20 03:34:53.579, 83, 525 MHz, 97 %, 44.18 W, Active
2026/09/20 03:34:55.606, 83, 1005 MHz, 97 %, 46.94 W, Not Active
2026/09/20 03:34:57.631, 85, 1005 MHz, 98 %, 61.52 W, Active
2026/09/20 03:34:59.654, 85, 1575 MHz, 97 %, 64.14 W, Not Active
2026/09/20 03:35:01.677, 84, 1005 MHz, 99 %, 59.37 W, Active
2026/09/20 03:35:03.698, 83, 300 MHz, 90 %, 41.71 W, Active
2026/09/20 03:35:05.726, 84, 1050 MHz, 97 %, 60.28 W, Active
